row_category,m_rural,daterange,n
Table Order 01 - 0,0,03-01-2012 to 10-10-2016,19664
Table Order 01 - 1,0,23-12-2017 to 02-03-2020,3618
Table Order 01 - 2,0,23-12-2017 to 03-07-2018,1042
Table Order 02,0,01-04-2017 to 22-12-2017,1483
Table Order 03,0,08-02-2017 to 31-03-2017,239
Table Order 04,0,10-12-2016 to 07-02-2017,140
Table Order 11,0,02-10-2020 to 12-04-2021,737
Table Order 12,0,23-06-2020 to 01-10-2020,660
Table Order 13,0,04-04-2020 to 22-06-2020,486
Table Order 14,0,26-12-2019 to 03-04-2020,595
Table Order 15,0,07-10-2019 to 25-12-2019,602
Table Order 16,0,29-06-2019 to 06-10-2019,732
Table Order 17,0,10-04-2019 to 28-06-2019,481
Table Order 18,0,31-12-2018 to 09-04-2019,686
Table Order 19,0,04-07-2018 to 30-12-2018,1399
Table Order 01 - 0,1,01-01-2012 to 19-11-2016,59324
Table Order 01 - 1,1,23-12-2017 to 16-03-2020,14564
Table Order 01 - 2,1,23-12-2017 to 03-07-2018,4160
Table Order 02,1,01-04-2017 to 22-12-2017,5469
Table Order 03,1,08-02-2017 to 31-03-2017,875
Table Order 04,1,07-12-2016 to 07-02-2017,511
Table Order 11,1,02-10-2020 to 17-04-2021,3577
Table Order 12,1,23-06-2020 to 01-10-2020,2914
Table Order 13,1,04-04-2020 to 22-06-2020,1838
Table Order 14,1,26-12-2019 to 03-04-2020,2617
Table Order 15,1,07-10-2019 to 25-12-2019,2338
Table Order 16,1,29-06-2019 to 06-10-2019,2916
Table Order 17,1,10-04-2019 to 28-06-2019,1870
Table Order 18,1,31-12-2018 to 09-04-2019,2576
Table Order 19,1,04-07-2018 to 30-12-2018,5375
