term,c_stunting_RR,c_stunting_p,c_underweight_RR,c_underweight_p,c_wasting_RR,c_wasting_p
Average depth,"1.05 	(1.01, 1.10)",0.016,"1.05 	(1.00, 1.10)",0.056,"1.05 	(1.00, 1.10)",0.031
Duration,"1.00 	(0.98, 1.01)",0.649,"1.00 	(0.98, 1.02)",0.79,"0.98 	(0.96, 1.00)",0.045
LRT for Interaction,NA,"29.5, p = 0",NA,"9.1, p = 0.022",NA,"4.6, p = 0.12"
Phase 2 for 36-59,"0.94 	(0.83, 1.06)",,"0.95 	(0.82, 1.09)",,"0.89 	(0.73, 1.09)",
Phase 2 for 00-24,"1.02 	(0.90, 1.15)",,"1.01 	(0.88, 1.17)",,"0.93 	(0.76, 1.13)",
Phase 2 36-59 vs 00-24,"1.08 	(1.02, 1.15)",0.011,"1.07 	(1.00, 1.14)",0.04,"1.04 	(0.93, 1.16)",0.489
Average depth in 36-59,"1.04 	(0.90, 1.20)",,"1.08 	(0.89, 1.32)",,"1.10 	(0.90, 1.34)",
Average depth in 00-24,"1.06 	(1.00, 1.11)",,"1.06 	(0.99, 1.13)",,"1.05 	(1.00, 1.11)",
Average depth 36-59 vs 00-24,"1.01 	(0.86, 1.20)",0.884,"0.98 	(0.77, 1.24)",0.856,"0.96 	(0.72, 1.27)",0.79
Phase 2,"0.28 	(0.11, 0.75)",0.011,"0.47 	(0.17, 1.30)",0.146,"3.92 	(1.37, 11.22)",0.011
Average depth in Gestation,"1.02 	(0.98, 1.06)",0.311,"1.03 	(0.99, 1.08)",0.117,"1.03 	(0.99, 1.07)",0.12
Average depth in 00-06,"1.01 	(0.99, 1.04)",0.311,"1.00 	(0.98, 1.02)",0.907,"1.00 	(0.96, 1.04)",0.907
Average depth in 07-24,"1.02 	(1.00, 1.05)",0.025,"1.02 	(0.99, 1.05)",0.208,"1.00 	(0.97, 1.03)",0.907
